source_kind,source_csv,scope,domain,candidate,objective,threshold,candidate_category,usable_as_forced_baseline,provenance_note,n,accuracy,balanced_accuracy,f1,tn,fp,fn,tp,high_risk_recall,low_risk_specificity,auc
raw_forced_candidate_predictions,/workspace/thymic_project/outputs/grosspath_rc_v135_stage1_base_candidate_scan_20260527/v135_stage1_candidate_predictions.csv,internal_oof_old_third,old_data,avg_all6,accuracy,0.6,uncategorized_probe,False,needs manual provenance check before being used as a forced baseline,285,0.7964912280701755,0.7955082742316785,0.7734375,128,16,42,99,0.7021276595744681,0.8888888888888888,0.8884456264775414
raw_forced_candidate_predictions,/workspace/thymic_project/outputs/grosspath_rc_v135_stage1_base_candidate_scan_20260527/v135_stage1_candidate_predictions.csv,internal_oof_old_third,third_batch,avg_all6,accuracy,0.6,uncategorized_probe,False,needs manual provenance check before being used as a forced baseline,306,0.7941176470588235,0.6970274390243902,0.5594405594405595,203,21,42,40,0.4878048780487805,0.90625,0.7951872822299652
raw_forced_candidate_predictions,/workspace/thymic_project/outputs/grosspath_rc_v135_stage1_base_candidate_scan_20260527/v135_stage1_candidate_predictions.csv,internal_oof_old_third,old_data,avg_all6,balanced_accuracy,0.4599999999999999,uncategorized_probe,False,needs manual provenance check before being used as a forced baseline,285,0.775438596491228,0.7765218676122931,0.7948717948717948,97,47,17,124,0.8794326241134752,0.6736111111111112,0.8884456264775414
raw_forced_candidate_predictions,/workspace/thymic_project/outputs/grosspath_rc_v135_stage1_base_candidate_scan_20260527/v135_stage1_candidate_predictions.csv,internal_oof_old_third,third_batch,avg_all6,balanced_accuracy,0.4599999999999999,uncategorized_probe,False,needs manual provenance check before being used as a forced baseline,306,0.7483660130718954,0.7392203832752613,0.6051282051282051,170,54,23,59,0.7195121951219512,0.7589285714285714,0.7951872822299652
raw_forced_candidate_predictions,/workspace/thymic_project/outputs/grosspath_rc_v135_stage1_base_candidate_scan_20260527/v135_stage1_candidate_predictions.csv,internal_oof_old_third,old_data,avg_all6,high_sensitivity,0.3,uncategorized_probe,False,needs manual provenance check before being used as a forced baseline,285,0.656140350877193,0.6597222222222222,0.7421052631578947,46,98,0,141,1.0,0.3194444444444444,0.8884456264775414
raw_forced_candidate_predictions,/workspace/thymic_project/outputs/grosspath_rc_v135_stage1_base_candidate_scan_20260527/v135_stage1_candidate_predictions.csv,internal_oof_old_third,third_batch,avg_all6,high_sensitivity,0.3,uncategorized_probe,False,needs manual provenance check before being used as a forced baseline,306,0.5490196078431373,0.6687717770034843,0.5241379310344828,92,132,6,76,0.926829268292683,0.4107142857142857,0.7951872822299652
raw_forced_candidate_predictions,/workspace/thymic_project/outputs/grosspath_rc_v135_stage1_base_candidate_scan_20260527/v135_stage1_candidate_predictions.csv,internal_oof_old_third,old_data,avg_core_selected,accuracy,0.6499999999999999,uncategorized_probe,False,needs manual provenance check before being used as a forced baseline,285,0.7368421052631579,0.7349290780141844,0.6753246753246753,132,12,63,78,0.5531914893617021,0.9166666666666666,0.8164401103230889
raw_forced_candidate_predictions,/workspace/thymic_project/outputs/grosspath_rc_v135_stage1_base_candidate_scan_20260527/v135_stage1_candidate_predictions.csv,internal_oof_old_third,third_batch,avg_core_selected,accuracy,0.6499999999999999,uncategorized_probe,False,needs manual provenance check before being used as a forced baseline,306,0.7908496732026143,0.6600065331010453,0.49206349206349204,211,13,51,31,0.3780487804878049,0.9419642857142857,0.7849520905923345
raw_forced_candidate_predictions,/workspace/thymic_project/outputs/grosspath_rc_v135_stage1_base_candidate_scan_20260527/v135_stage1_candidate_predictions.csv,internal_oof_old_third,old_data,avg_core_selected,balanced_accuracy,0.4599999999999999,uncategorized_probe,False,needs manual provenance check before being used as a forced baseline,285,0.7368421052631579,0.738031914893617,0.7619047619047619,90,54,21,120,0.851063829787234,0.625,0.8164401103230889
raw_forced_candidate_predictions,/workspace/thymic_project/outputs/grosspath_rc_v135_stage1_base_candidate_scan_20260527/v135_stage1_candidate_predictions.csv,internal_oof_old_third,third_batch,avg_core_selected,balanced_accuracy,0.4599999999999999,uncategorized_probe,False,needs manual provenance check before being used as a forced baseline,306,0.7254901960784313,0.7119991289198606,0.5714285714285714,166,58,26,56,0.6829268292682927,0.7410714285714286,0.7849520905923345
raw_forced_candidate_predictions,/workspace/thymic_project/outputs/grosspath_rc_v135_stage1_base_candidate_scan_20260527/v135_stage1_candidate_predictions.csv,internal_oof_old_third,old_data,avg_core_selected,high_sensitivity,0.2099999999999999,uncategorized_probe,False,needs manual provenance check before being used as a forced baseline,285,0.5684210526315789,0.5728427895981087,0.6947890818858561,22,122,1,140,0.9929078014184397,0.1527777777777778,0.8164401103230889
raw_forced_candidate_predictions,/workspace/thymic_project/outputs/grosspath_rc_v135_stage1_base_candidate_scan_20260527/v135_stage1_candidate_predictions.csv,internal_oof_old_third,third_batch,avg_core_selected,high_sensitivity,0.2099999999999999,uncategorized_probe,False,needs manual provenance check before being used as a forced baseline,306,0.42810457516339867,0.6055095818815331,0.4807121661721068,50,174,1,81,0.9878048780487805,0.22321428571428573,0.7849520905923345
